id,nome,id_anfitriao,nome_anfitriao,grupo_vizinhanca,vizinhanca,latitude,longitude,tipo_quarto,minimo_noites,numero_reviews,ultima_review,reviews_por_mes,contagem_listagens_anfitriao,disponibilidade_365
12627,Entire apartment in central Brooklyn neighborhood.,49670,Rana,Brooklyn,Prospect-Lefferts Gardens,40.65944,-73.96238,Casa/Apto inteiro,29,11,2019-06-05,0.49,1,95
12937,"1 Stop fr. Manhattan! Private Suite,Landmark Block",50124,Orestes,Queens,Long Island City,40.74771,-73.9474,Quarto privado,3,248,2019-07-01,2.25,1,215
12940,Charming Brownstone 3 - Near PRATT,50148,Adreinne,Brooklyn,Bedford-Stuyvesant,40.68111,-73.95591,Casa/Apto inteiro,7,61,2019-05-25,0.52,1,265
13050,bright and stylish duplex,50846,Jennifer,Brooklyn,Bedford-Stuyvesant,40.68554,-73.9409,Casa/Apto inteiro,3,11,2017-01-01,0.1,1,0
13394,Fort Greene brownstone ,52335,Alexander,Brooklyn,Fort Greene,40.69142,-73.97376,Quarto privado,3,135,2019-06-17,1.16,2,192
13808,Blue Room for 2 in Brownstone for $1350 monthly,54275,JT And Tiziana,Brooklyn,Bedford-Stuyvesant,40.68043,-73.93934,Quarto privado,1,112,2019-06-16,1.01,3,251
14287,Cozy 1BD on Central Park West in New York City,56094,Joya,Manhattan,Upper West Side,40.78635,-73.97008,Casa/Apto inteiro,2,73,2019-07-07,0.63,1,302
14290,* ORIGINAL BROOKLYN LOFT *,56104,James,Brooklyn,Williamsburg,40.7042,-73.9356,Casa/Apto inteiro,3,82,2019-05-17,0.7,1,140
14314,Greenpoint Place...Has It All! ,56246,Jeanne,Brooklyn,Greenpoint,40.73506,-73.95392,Casa/Apto inteiro,2,328,2019-06-29,2.82,1,234
14322,Beautiful Apartment in Manhattan!!!,56284,Francesca,Manhattan,Kips Bay,40.73961,-73.98074,Casa/Apto inteiro,7,19,2019-03-25,0.22,1,257
14377,Williamsburg 1 bedroom Apartment,56512,Joanna,Brooklyn,Williamsburg,40.70881,-73.9593,Casa/Apto inteiro,30,105,2019-06-22,0.9,1,30
14991,"Great Location, Manhattan Bedroom!",59023,Bianca,Manhattan,Lower East Side,40.72004,-73.99104,Quarto privado,5,19,2019-05-18,0.17,1,301
15220,Best Location in NYC! TIMES SQUARE!,59734,Luiz,Manhattan,Hell's Kitchen,40.75531,-73.99293,Quarto privado,2,289,2019-06-09,2.49,2,294
15338,Room in Greenpoint Loft w/ Roof,32169,Andrea,Brooklyn,Greenpoint,40.72401,-73.93788,Quarto privado,4,138,2019-06-04,1.19,3,320
15341,**Bright Nolita Apt w Doorman/Elevators/Gym**,60049,Ted,Manhattan,SoHo,40.7221,-73.99775,Casa/Apto inteiro,30,21,2019-06-29,0.3,1,154
15385,"Very, very cozy place",60252,Cristina,Brooklyn,Williamsburg,40.71185,-73.96204,Quarto privado,2,42,2019-06-30,0.38,1,263
15396,Sunny & Spacious Chelsea Apartment,60278,Petra,Manhattan,Chelsea,40.74623,-73.9953,Casa/Apto inteiro,180,5,2018-11-03,0.12,1,180
15711,2 bedroom - Upper East Side-great for kids,61491,D,Manhattan,Upper East Side,40.77065,-73.95269,Casa/Apto inteiro,2,66,2019-03-30,0.57,2,231
16326,Comfortable 4-bedroom apt in family house.,63588,Dimitri,Brooklyn,Prospect Heights,40.67811,-73.96428,Casa/Apto inteiro,30,143,2019-01-26,1.33,2,297
16338,Double Room w Private Deck Clinton Hill Best Area,63613,Patricia,Brooklyn,Clinton Hill,40.69,-73.96788,Quarto privado,7,27,2017-09-30,0.23,2,292
16421,Your Heaven in Hells Kitchen,63924,Mark,Manhattan,Hell's Kitchen,40.75979,-73.99119,Quarto privado,30,191,2019-05-16,1.65,1,191
16458,Light-filled 2B duplex in the heart of Park Slope!,64056,Sara,Brooklyn,Park Slope,40.67343,-73.98338,Casa/Apto inteiro,3,4,2017-09-24,0.16,1,0
16580,"Sunny, Modern room in East Village!",64442,Reka,Manhattan,East Village,40.72649,-73.97904,Quarto privado,1,338,2019-07-01,4.72,2,72
16595,*HAVEN LOFT - Entire Floor - Six Windows - Bricks*,64522,Daniel,Brooklyn,Williamsburg,40.70933,-73.96792,Casa/Apto inteiro,1,148,2019-06-23,1.4,1,362
16821,Large Room in Amazing East Village Apt,4396,Casey,Manhattan,East Village,40.72298,-73.98474,Quarto privado,1,106,2019-06-21,1.26,2,336
16974,SpaHa Loft: Enormous and Bright,65837,Robin,Manhattan,East Harlem,40.80164,-73.93922,Casa/Apto inteiro,4,190,2019-06-23,1.64,1,215
17037,Lovely EV Artist's Home,66035,Anna,Manhattan,East Village,40.72162,-73.98008,Casa/Apto inteiro,9,49,2018-05-14,0.43,1,116
17092,Cool Room in Hell's Kitchen,66243,Enzo,Manhattan,Hell's Kitchen,40.76342,-73.98865,Quarto privado,7,23,2019-06-01,0.43,1,88
17693,"HARLEM, NEW YORK WELCOMES YOU!!",68428,Tye And Etienne,Manhattan,Washington Heights,40.83139,-73.94095,Quarto privado,2,49,2019-06-18,1.6,2,336
17747,BLUE TRIM GUEST HOUSE,68599,George,Brooklyn,Clinton Hill,40.68346,-73.96374,Quarto privado,2,105,2019-06-26,0.92,1,304
18127,Charming East Village One Bedroom Flat,69829,Josh,Manhattan,East Village,40.72828,-73.98801,Casa/Apto inteiro,5,21,2019-01-02,0.2,1,224
18152,Manhattan Room,69942,Victoria,Manhattan,Upper East Side,40.76865,-73.95058,Quarto privado,1,142,2019-07-06,1.5,1,322
18198,Little King of Queens,70091,Justin,Queens,Woodside,40.75038,-73.90334,Quarto privado,30,25,2019-05-31,0.22,1,324
18590,Fort Greene Retreat on the Park,71512,Blaise,Brooklyn,Fort Greene,40.6932,-73.97267,Quarto privado,3,143,2019-06-16,1.28,1,132
18728,Beautiful Meatpacking District Loft,71876,DAVID And RICK,Manhattan,Chelsea,40.74138,-74.00197,Quarto privado,3,167,2019-05-28,1.65,1,295
18764,Cozy 2 BR in Williamsburg ,72014,Lulú,Brooklyn,Williamsburg,40.71154,-73.96112,Quarto privado,3,61,2019-04-22,0.54,4,238
19159,Spacious luminous apt Upper West NYC,73051,Sybilla,Manhattan,Harlem,40.82915,-73.95136,Casa/Apto inteiro,31,54,2019-03-23,0.49,1,209
19169,Entire 2 Bedroom - Large & Sunny,73128,JoLynn,Manhattan,Lower East Side,40.71851,-73.98892,Casa/Apto inteiro,5,70,2019-06-30,0.62,1,328
19282,"Sunny, Spacious Top Floor Haven",73469,Gaia,Brooklyn,Flatbush,40.65401,-73.96323,Casa/Apto inteiro,6,16,2019-06-15,0.15,1,38
19319,Private room Great Deal at Lower East Side,44263,Ana,Manhattan,Lower East Side,40.7114,-73.98794,Quarto privado,30,94,2019-04-08,0.84,1,188
19601,perfect for a family or small group,74303,Maggie,Brooklyn,Brooklyn Heights,40.69723,-73.99268,Casa/Apto inteiro,1,25,2016-08-04,0.24,1,7
19812,2 bedroom Williamsburg Apt - Bedford L stop,74857,Starlee,Brooklyn,Williamsburg,40.71833,-73.95748,Casa/Apto inteiro,3,61,2018-08-09,0.53,1,272
20299,Oh glorious spring!,62407,Edward,Manhattan,East Village,40.72334,-73.9844,Quarto privado,3,194,2019-06-30,1.73,1,26
20300,Great Location for NYC,76627,Pas,Manhattan,East Village,40.72912,-73.98057,Quarto privado,1,2,2016-02-14,0.05,1,0
20611,Cozy Bedroom in Williamsburg 3 BR,72014,Lulú,Brooklyn,Williamsburg,40.71156,-73.96218,Quarto privado,3,174,2019-06-22,1.54,4,288
20724,Sunny room+Pvte office in huge loft,961342,Augustin,Brooklyn,Bushwick,40.70032,-73.9383,Quarto privado,4,24,2019-05-26,0.28,1,317
20734,Spacious Prospect Heights Apartment,78460,Sean & Lynette,Brooklyn,Prospect Heights,40.68233,-73.97261,Casa/Apto inteiro,4,166,2019-06-27,3.4,1,207
20755,"Large Parlor Room, Landmark Home 1 block to PRATT",51038,Erica,Brooklyn,Clinton Hill,40.68634,-73.966,Quarto privado,7,16,2019-05-31,0.2,6,185
20853,2-bed brownstone duplex + garden,79070,Tracy,Brooklyn,Prospect Heights,40.68035,-73.97162,Casa/Apto inteiro,7,21,2019-05-21,0.3,1,158
20913,Charming 1 bed GR8 WBurg LOCATION!,79402,Christiana,Brooklyn,Williamsburg,40.70984,-73.95775,Casa/Apto inteiro,5,168,2018-07-22,1.57,1,0
21293,Sunny Apartment in Artist Home,44145,Tyrome,Brooklyn,Bushwick,40.70093,-73.92609,Casa/Apto inteiro,3,118,2019-06-18,1.05,2,9
21456,Light-filled classic Central Park ,42032,Dana,Manhattan,Upper West Side,40.79764,-73.96177,Casa/Apto inteiro,3,81,2019-07-07,0.71,1,198
21644,"Upper Manhattan, New York",82685,Elliott,Manhattan,Harlem,40.82803,-73.94731,Quarto privado,1,1,2018-10-09,0.11,1,365
21794,COZY QUIET room 4 DOOGLERS!,83257,Olan,Manhattan,Chelsea,40.74008,-74.00271,Quarto privado,30,30,2019-05-01,0.27,2,364
22911,The Stuydio Modern and Light Filled,87773,Shelly,Brooklyn,Bedford-Stuyvesant,40.68413,-73.92357,Casa/Apto inteiro,7,139,2018-10-28,1.23,2,311
